"alpha_3";"nom_pays";"population";"urbanisation";"stabilite_politique";"droits_douane";"indice_gini";"croissance";"pib_par_habitant";"pib";"densite";"kg_volaille_consommee_par_hab";"kg_volaille_consommee";"reserves_poulets";"poulets_abattus";"poulets_abattus_par_hab";"kg_volaille_importee";"part_importation_consommation_volaille";"kg_poulets_importes_de_france"
"AGO";"Angola";17.3565792673231;0.662685710844269;-0.65;12.03;51.3;0.856000934845724;7.74479569128945;25.1626524484231;27.6760840619235;2.35327820730956;19.7098574746327;17.6546617499565;17.8591055376099;0.502526270286744;19.5712527715512;0.870572094916;12.4233993115228
"ALB";"Albania";14.8644808197309;0.649564053791804;0.11;1.61;29.4;3.43914949919611;9.03214338520873;23.8577890538171;104.186496350365;3.11617842662986;17.9806592463608;15.4247484503957;16.1806947927148;1.31621397298394;17.6656581596743;0.729788081217824;13.1052985987777
"ARE";"United Arab Emirates";16.0525053769225;0.926339741669777;0.7;4.11;26.4;3.40385720609487;10.8776095190001;26.9461861952711;131.866305266122;4.01186834039786;20.0643737173204;17.0843948521857;17.6057274459841;1.5532220690616;20.2738488413091;1.23303070184361;5
"ARG";"Argentina";17.6283048762563;0.935279341861325;-0.01;11.9;40.7;-1.55050153620256;9.52737598597085;27.1856576657641;16.5443583306841;3.87515153065224;21.5034564069086;18.5761020447702;20.4378372235475;2.80953234729116;16.4545678875795;0.00641646125697368;5
"ARM";"Armenia";14.8419011968176;0.668164590569457;-0.8;5.7;27.9;8.7;9.07288877236818;23.9101197754702;98.0321039690903;2.91506437048654;17.7569655673041;15.3897357146426;16.2101277364048;1.36822653958722;17.5043900120782;0.776797519509964;5
"AUS";"Australia";17.0705674424547;0.85627339962453;0.93;1.93;34.3;3.01698810357014;11.0776983125355;28.1755680600237;3.36986760304835;3.89365534806996;20.9642227905246;18.5103569005941;20.363775504948;3.29320806249331;15.2018049190842;0.00314350181914613;5
"AZE";"Azerbaijan";16.1489150175779;0.560395179206965;-0.93;9.26;26.6;1.12397432709641;8.87557837655666;25.0048666557041;124.779092558984;2.77633170851862;18.9252467260966;17.2098511521632;18.5183517711258;2.36943675354787;17.4530967176907;0.229431674499628;5
"BDI";"Burundi";16.3453278722579;0.137827315973365;-1.19;11.29;37.5;2.70000059705133;5.29621896735508;21.694863233047;488.754400311526;-0.415515443961666;15.9298124282962;14.8393993004364;15.8989441209136;-0.446383751344236;13;0;5
"BEL";"Belgium";16.2674995684278;0.986046494403483;0.58;2.24;26.6;1.36505523054922;10.8869750223936;27.1724978576355;383.468262879789;2.78809290877575;19.0555924772035;17.7911278889176;19.511912530261;3.24441296183328;19.548851834862;1.63764520213977;18.7522181816002
"BEN";"Benin";16.3802210407437;0.469102427926055;-0.35;11.32;34.4;6.35282160914288;7.26868514197438;23.7025274450352;115.261573252927;2.36930872503695;18.7495297657806;16.6086981590353;16.682897965581;0.302676924837363;18.705859686186;0.957269728197379;14.702191206282
"BFA";"Burkina Faso";16.9111190709878;0.303863233548031;-1.78;11.33;37.4;2.96018001322078;6.77321913076698;23.7350986896927;80.7773501461988;1.8961194845523;18.8072385555401;17.8283919597028;18.8261458520605;1.91502678107272;13;0;9.3101857069459
"BGD";"Bangladesh";18.9475150482681;0.394386954160907;-1.09;12.57;33.4;5.77511237007889;7.8356109293947;26.8041489949658;1301.03903357148;0.506817602368452;19.4543326506366;19.5578725145879;19.5718696698379;0.624354621569778;13;0;5
"BIH";"Bosnia and Herzegovina";15.000588880505;0.527657926169915;-0.44;3.16;33;1.6762234691309;9.03908825546312;24.021133578692;63.88560546875;3.08282698040492;18.08341586091;16.0454174254603;17.5891217092379;2.58853282873284;16.5235607590665;0.21016652173616;5
"BLR";"Belarus";16.074996795523;0.783986121770481;-0.79;5.65;24.4;3.88624214456901;8.96559685403601;24.9979491963933;47.1947129834935;3.55905546627774;19.6340522618008;18.4787420833656;19.863827916665;3.788831121142;16.5880992802041;0.0475509751841351;5
"BLZ";"Belize";12.8992973230871;0.468636180695996;0.43;11.87;53.2;4.5416322077583;8.98564385982856;21.9115664718781;17.537527400263;3.41213732170049;16.3114346447876;14.3414218191483;16.293308668515;3.39401134542783;13;0;5
"BOL";"Bolivia (Plurinational State of)";16.3070180409064;0.683074723795875;-0.28;9.83;40.9;2.44347191830776;8.21635247928302;24.5486373912892;11.1506249423059;3.74832691275736;20.0553449536638;19.2262052645768;18.8705199304546;2.56350188954818;14.9141228466324;0.00585053536213113;5
"BRA";"Brazil";19.1830098188;0.87704460223703;-0.33;13.2;52;2.90848048667777;9.21469327654149;28.4074361006832;25.6428132335663;3.85121086603139;23.0342206848314;21.1845112245182;22.5331646228316;3.35015480403157;15.4249484703984;0.000495832586995442;5
"BTN";"Bhutan";13.5638209164425;0.466955031987714;0.86;4.06;28.5;5.21386783786224;8.21717356199382;21.7873652537494;20.3850550603041;1.57069708411767;15.1345180005602;13.79019274998;13.6716401875446;0.107819271102032;14.9141228466324;0.802201742154359;5
"BWA";"Botswana";14.7665593679239;0.679120066542447;1.08;7.79;53.3;2.73091904554352;8.88872906828808;23.6883205867283;4.5672948317541;0.940007258491471;15.7065666264154;13.6291809797728;14.6809289594647;-0.0856304084592735;15.4249484703984;0.754561754396403;5
"CAN";"Canada";17.4571676832124;0.811585827833051;0.77;2.06;31.7;1.06599445256434;10.8850358738057;28.3918669291122;4.34137153390149;3.71770983578181;21.1748775189943;18.9742324682776;20.4868090565701;3.02964137335764;19.1433867267539;0.131139873044249;10.1983934700772
"CHE";"Switzerland";15.977845279321;0.743342676662441;1.16;4.13;33.7;0.716066868695833;11.5128748438938;27.5087861375742;219.981963890829;2.89092715918786;18.8687724385089;16.3888095751799;18.2816025677558;2.30375728843482;17.7073308560749;0.31303459029169;15.0433981114476
"CHL";"Chile";16.7855754239696;0.838155326497713;0.12;1.07;43;0.218780666901552;9.7464384580248;26.538987137661;26.2170074724423;3.65091794782682;20.4364933717964;17.8610499559044;19.5210348481121;2.73545942414244;18.9745658571788;0.231789067053596;5
"CHN";"China";21.0780644471715;0.626258073214467;-0.23;5.31;35.7;5.19999999987174;9.4425674227036;30.5099263834026;151.881292067391;2.84141491316963;23.9194793603411;22.3691276705392;23.1593324963237;2.08126804915217;20.9978626698495;0.0538465636658725;5
"CIV";"C̫te d'Ivoire";17.1289053042199;0.509448182087585;-0.52;12.13;35.3;6.53593302046529;7.91161842071114;25.0900370586193;86.4095880503145;0.896088024556636;18.0249933287765;18.3433568369884;18.078570644407;0.949665340187111;13.8155105579643;0.0148540492993612;11.2572587219505
"COL";"Colombia";17.7574139061673;0.802482549204273;-0.64;3.19;54.8;0.612181322079849;8.85076481599878;26.619155598891;46.4322325371789;3.60141342833266;21.3588273344999;19.1871620258767;20.7910693347421;3.03365542857486;18.2099597126367;0.04290067916321;5
"COM";"Comoros";13.6190393655659;0.320198387342157;-0.23;12.49;45.3;2.70109357862837;7.36970272890679;21.025132559013;441.496507254164;3.13766576944266;16.7567051350085;13.2122040814041;13.5062643075967;-0.112775057969225;16.4545678875795;0.739236599604046;5
"CPV";"Cabo Verde";13.284354667725;0.655483267423566;0.93;13.59;42.4;5.14913485822454;8.37137632370638;21.6738621750267;145.887096774194;3.14113047624335;16.4254851439684;13.3939160679262;13.0411533219788;-0.243201345746247;16.3804599154258;0.955973363714167;5
"CRI";"Costa Rica";15.4552753271251;0.803761071347704;0.95;2.77;46.7;5.11192183224598;9.7168790428998;25.1833864522082;100.939228358794;3.47413800606387;18.929413333189;17.0874341372545;18.2058525242419;2.75057719711676;16.8112428315183;0.120251427174617;5
"DNK";"Denmark";15.5826767430021;0.877130592527809;0.87;2.24;28.3;1.88961038591202;11.1267831906722;26.7251725680319;146.356;2.88088243187505;18.4635591748771;16.9251070876673;18.3984555846937;2.81577884169164;18.4106304080989;0.948447571052212;14.5992477047186
"DOM";"Dominican Republic";16.2240645515125;0.839598005841585;0.33;5.53;37;2.36061568723294;9.27949447701407;25.5227213880652;233.907828575035;3.60685561863535;19.8309201701479;19.2262633538421;19.1208035382487;2.89673898673622;17.8044946045285;0.131805811360718;5
"DZA";"Algeria";17.6037367838719;0.739097987958659;-0.74;12.83;27.6;4.10000000000679;8.56792551595313;26.2034858856049;18.5486033116111;1.81319474994812;19.4169315338201;18.7717671007883;19.4206138507632;1.81687706689123;13;0;5
"ECU";"Ecuador";16.6945818723485;0.635328918502392;-0.24;7.7;44.6;2.35521790742197;8.78467533777206;25.5010844959388;71.6610444516025;3.35968070145922;20.0542625738078;18.9578171825082;19.3152001919971;2.62061831964853;13.8155105579643;0.00195229043069231;5
"ETH";"Ethiopia";18.6053580737329;0.212744747542351;-2.04;18.49;35;6.49813464238613;7.16532190516398;25.8212886614632;106.579911903038;-0.916290731874155;17.6890673418587;17.5522273414924;17.9376972394145;-0.667660834318431;13;0;5
"FIN";"Finland";15.5267813311919;0.865664545758014;0.89;2.24;27.7;-1.03537569285423;10.8922089257332;26.4276721259769;18.213633463915;3.16420842352589;18.6909897547178;16.4080750824588;18.2133859351925;2.6866046040006;16.9935643883122;0.183154473191497;5
"FJI";"Fiji";13.7371273059656;0.581178010188079;0.76;7.84;30.7;8.02640862453754;8.67729626360255;22.4270675798527;50.608100711549;3.61469455592456;17.3518218618901;15.5563275484548;16.4255068185911;2.68837951262554;15.4249484703984;0.145602730277168;5
"GBR";"United Kingdom of Great Britain and Northern Ireland";18.0243890164348;0.84674882919094;0.5;1;32.4;0.104017849159277;10.7968494965467;28.837001617681;278.101264828669;3.56953269648137;21.5939217129162;19.002896363805;20.8437119900223;2.81932297358746;20.6688096511504;0.396486985553659;15.9279624626625
"GEO";"Georgia";15.1393921369616;0.619546937450439;-0.44;0.43;33.5;7.47447909383303;9.00213019116668;24.1421567762894;54.0794358900561;2.95438931001961;18.0937814469812;16.0229054639546;16.5474725791128;1.40808044215119;18.0202031773552;0.929063425498838;14.1348293693384
"GHA";"Ghana";17.30694560931;0.554085335587811;-0.07;12.84;43.5;2.94478583082221;7.71340849440968;25.0588609503275;144.300083943867;2.25863320546486;19.5655788147748;18.3003870592526;18.3269083811012;1.01996277179121;19.3369714758265;0.795640889364462;13.3396980900353
"GIN";"Guinea";16.4205608623614;0.388553319835358;-0.86;13.14;29.6;7.06196002940651;7.41694224537089;23.8850334225411;55.0704297574475;1.53255686809814;17.9531177304596;17.4410241364564;16.2081191536059;-0.212441708755509;18.0921766769803;1.1491918388677;14.0201397717805
"GMB";"Gambia";14.7862576564345;0.565176695016053;0.05;14.02;38.8;5.29599663840045;6.73787489987376;21.5733758068414;260.861264822134;2.99922616280825;17.7854838192427;13.8204980994753;14.0370528279115;-0.749204828522962;17.7858024715164;1.00031870304871;7.84384863815247
"GNB";"Guinea-Bissau";14.5385664795301;0.443450617526584;-0.39;13.23;33.4;4.24828229733396;6.81813156969898;21.3995015210436;73.2831081081081;1.07840958135059;15.6169760608806;14.5645653704625;15.1284274492794;0.589860969749337;14.9141228466324;0.495170458914771;5
"GTM";"Guatemala";16.6838913325255;0.541309435912225;-0.3;3;48.3;3.48448472740903;8.66518579416721;25.3487333696372;164.3195502053;3.36832977803654;20.0522211105621;17.6656581596743;19.2845617690088;2.60067043648324;18.7783551882242;0.279748044401092;5
"GUY";"Guyana";13.5980595234882;0.265781470032949;0.03;9.28;45;33.0168829873529;9.93431735007311;23.5438290430571;4.08720853441707;4.18677180246803;17.7848313259562;17.2487232690584;17.3231378832423;3.72507835975409;13.8155105579643;0.0188862569297116;5
"HND";"Honduras";16.1455498128128;0.566323761267013;-0.55;3.36;48.2;3.58260362632656;8.08555792898808;24.2613372224963;91.861158280454;3.2557861788883;19.4013359917011;17.7053901987067;18.6556579999721;2.51010818715936;16.7058823158604;0.0675117463771911;5
"HRV";"Croatia";15.2167267822566;0.583380109282081;0.61;2.24;28.9;3.06087128780983;9.97393598728089;25.1383505171465;72.5542351679771;2.97246364661464;18.1891904288713;16.2059233613238;17.4895301491712;2.27280336691455;17.3418710825804;0.428562220425939;11.5132254199792
"HUN";"Hungary";16.0886448008897;0.71327812991965;0.64;2.24;29.2;-0.907685956140242;10.0054667959376;26.0816848954715;106.396953758492;3.16505301817069;19.2536978190604;17.2848026300918;18.9965916143743;2.90794681348456;18.3481100511175;0.404304178216485;13.7361642743978
"IDN";"Indonesia";19.4277374956481;0.575207716939453;-0.44;6.02;36.1;5.04810577067288;8.50523190055001;27.9466863463037;144.647380401484;2.69462718077007;22.1223646764181;21.9709953014459;22.2437466261083;2.81600913046022;13;0;5
"IND";"India";21.0651262753864;0.351380106707799;-0.57;9.86;32.8;7.58397112433558;7.81796573516367;28.8979458793741;473.418732741601;1.24990173621434;22.3150280116007;20.563477294195;21.8162134448965;0.751087169510065;13;0;5
"ISL";"Iceland";12.8221632803936;0.877113964383599;1.26;1.53;26.1;4.06379899045474;11.2748086009272;24.1578990450875;3.67286521868492;3.42556473811045;16.247728018504;12.3013828253345;15.5409521461547;2.71878886576111;14.5086577385242;0.175683661329019;5
"ISR";"Israel";16.0015684638939;0.92066737984546;-1.29;3.23;37.9;1.99703998799328;10.8640186118661;26.9574833983276;411.27814232902;4.26028263976553;20.2618511036594;17.6595972763806;20.0057501412708;4.00418167737696;13;0;5
"JAM";"Jamaica";14.8549724501116;0.584838888211069;0.38;8.95;40.2;2.20006147233049;8.83553059344064;23.6897420638365;261.098337950139;4.01944140219542;18.8744138523071;16.4683298980671;18.1617416070328;3.30676915692115;16.8600329956877;0.133402973369895;5
"JPN";"Japan";18.6407197210594;0.929707831146675;1.07;2.18;32.9;1.92305553064716;10.4292330820691;29.0691830819362;341.872510288066;3.32862668882732;21.9693464098867;19.5897235368847;20.5268920078287;1.88617228676937;20.8742687104829;0.334513614430427;11.1860866773173
"KAZ";"Kazakhstan";16.7702367054635;0.57099163830424;-0.36;4.48;29.2;5.09999999973641;9.48315925061317;26.2893984347407;7.11059191762048;3.08282698040492;19.8530636858684;17.6939560971264;18.9019024644598;2.13166575899627;18.9630050347777;0.410631668050847;5
"KEN";"Kenya";17.7859083904351;0.294475298408957;-0.94;14.12;38.7;5.42581615130304;7.57553283949615;25.4002037487714;93.1328214499069;0.727548607277278;18.5134569977124;17.9275640539671;18.1944449164766;0.408536526041473;14.5086577385242;0.018227947984514;5
"KGZ";"Kyrgyzstan";15.6915718059786;0.363158751807478;-0.55;4.39;26.4;6.15139183716032;7.58572104333255;23.361439055053;34.0341136600626;2.02154756326093;17.7131193692395;15.4217433394494;16.0688003592334;0.377228553254886;17.5043900120782;0.811614863672346;5
"KOR";"Republic of Korea";17.7634823720068;0.811568631911251;0.56;5;32.9;1.35673324311098;10.4079340112819;28.1691464022155;531.046506147541;3.08236858021354;20.8458509522203;18.9680388554446;20.7532827866496;2.98980041464278;19.2271566098193;0.198157255780431;5
"LAO";"Lao People's Democratic Republic";15.8203709193912;0.361295138879069;0.8;2.49;38.8;3.74568140158232;7.63790986651643;23.486003428948;32.1709575389948;1.84687876844913;17.6672496878404;17.7298907829661;17.6728027886859;1.85243186929467;15.4249484703984;0.106213801876946;5
"LBR";"Liberia";15.4629022274555;0.529640991593972;-0.29;14.09;35.3;4.71102538380681;6.68398828400684;22.1892951660852;53.9183554817276;2.56417983068251;18.027082058138;15.9536925946667;16.6749648132256;1.21206258577017;17.8044946045285;0.800445001884621;5
"LKA";"Sri Lanka";16.8962014822729;0.183164158572823;-0.79;5.73;37.7;-2.29804511164436;8.25008855859264;25.1583219754245;351.979324280634;2.34468626901268;19.2408877512856;16.9408226770542;18.9721088181406;2.07590733586765;13;0;5
